1334 - Checker-LOGGER - INFO - Start logging
8435 - Checker-LOGGER - DEBUG - ('127.0.0.1', 48001) sends a type0 pkt to ('127.0.0.1', 48002), seq0, ack0
8435 - Checker-LOGGER - DEBUG - ('127.0.0.1', 48001) sends a type0 pkt to ('127.0.0.1', 48003), seq0, ack0
8435 - Checker-LOGGER - DEBUG - ('127.0.0.1', 48001) sends a type0 pkt to ('127.0.0.1', 48004), seq0, ack0
8435 - Checker-LOGGER - DEBUG - ('127.0.0.1', 48001) sends a type0 pkt to ('127.0.0.1', 48005), seq0, ack0
8436 - Checker-LOGGER - DEBUG - ('127.0.0.1', 48001) sends a type0 pkt to ('127.0.0.1', 48006), seq0, ack0
8436 - Checker-LOGGER - DEBUG - ('127.0.0.1', 48001) sends a type0 pkt to ('127.0.0.1', 48007), seq0, ack0
8436 - Checker-LOGGER - DEBUG - ('127.0.0.1', 48003) sends a type1 pkt to ('127.0.0.1', 48001), seq0, ack0
8436 - Checker-LOGGER - DEBUG - ('127.0.0.1', 48002) sends a type1 pkt to ('127.0.0.1', 48001), seq0, ack0
8436 - Checker-LOGGER - DEBUG - ('127.0.0.1', 48005) sends a type1 pkt to ('127.0.0.1', 48001), seq0, ack0
8436 - Checker-LOGGER - DEBUG - ('127.0.0.1', 48004) sends a type1 pkt to ('127.0.0.1', 48001), seq0, ack0
8436 - Checker-LOGGER - DEBUG - ('127.0.0.1', 48006) sends a type1 pkt to ('127.0.0.1', 48001), seq0, ack0
10511 - Checker-LOGGER - DEBUG - ('127.0.0.1', 48001) sends a type0 pkt to ('127.0.0.1', 48002), seq0, ack0
10511 - Checker-LOGGER - DEBUG - ('127.0.0.1', 48001) sends a type0 pkt to ('127.0.0.1', 48003), seq0, ack0
10512 - Checker-LOGGER - DEBUG - ('127.0.0.1', 48001) sends a type0 pkt to ('127.0.0.1', 48004), seq0, ack0
10512 - Checker-LOGGER - DEBUG - ('127.0.0.1', 48001) sends a type0 pkt to ('127.0.0.1', 48005), seq0, ack0
10512 - Checker-LOGGER - DEBUG - ('127.0.0.1', 48001) sends a type0 pkt to ('127.0.0.1', 48006), seq0, ack0
10512 - Checker-LOGGER - DEBUG - ('127.0.0.1', 48001) sends a type0 pkt to ('127.0.0.1', 48007), seq0, ack0
10513 - Checker-LOGGER - DEBUG - ('127.0.0.1', 48004) sends a type1 pkt to ('127.0.0.1', 48001), seq0, ack0
10513 - Checker-LOGGER - DEBUG - ('127.0.0.1', 48003) sends a type1 pkt to ('127.0.0.1', 48001), seq0, ack0
10514 - Checker-LOGGER - DEBUG - ('127.0.0.1', 48005) sends a type1 pkt to ('127.0.0.1', 48001), seq0, ack0
10514 - Checker-LOGGER - DEBUG - ('127.0.0.1', 48006) sends a type1 pkt to ('127.0.0.1', 48001), seq0, ack0
10515 - Checker-LOGGER - DEBUG - ('127.0.0.1', 48002) sends a type1 pkt to ('127.0.0.1', 48001), seq0, ack0
10515 - Checker-LOGGER - DEBUG - ('127.0.0.1', 48007) sends a type1 pkt to ('127.0.0.1', 48001), seq0, ack0
12594 - Checker-LOGGER - DEBUG - ('127.0.0.1', 48001) sends a type2 pkt to ('127.0.0.1', 48002), seq0, ack0
12595 - Checker-LOGGER - DEBUG - ('127.0.0.1', 48001) sends a type0 pkt to ('127.0.0.1', 48002), seq0, ack0
12596 - Checker-LOGGER - DEBUG - ('127.0.0.1', 48001) sends a type0 pkt to ('127.0.0.1', 48003), seq0, ack0
12596 - Checker-LOGGER - DEBUG - ('127.0.0.1', 48001) sends a type0 pkt to ('127.0.0.1', 48004), seq0, ack0
12597 - Checker-LOGGER - DEBUG - ('127.0.0.1', 48001) sends a type0 pkt to ('127.0.0.1', 48005), seq0, ack0
12597 - Checker-LOGGER - DEBUG - ('127.0.0.1', 48001) sends a type0 pkt to ('127.0.0.1', 48006), seq0, ack0
12597 - Checker-LOGGER - DEBUG - ('127.0.0.1', 48001) sends a type0 pkt to ('127.0.0.1', 48007), seq0, ack0
12598 - Checker-LOGGER - DEBUG - ('127.0.0.1', 48002) sends a type3 pkt to ('127.0.0.1', 48001), seq1, ack0
12599 - Checker-LOGGER - DEBUG - ('127.0.0.1', 48002) sends a type1 pkt to ('127.0.0.1', 48001), seq0, ack0
12599 - Checker-LOGGER - DEBUG - ('127.0.0.1', 48003) sends a type1 pkt to ('127.0.0.1', 48001), seq0, ack0
12599 - Checker-LOGGER - DEBUG - ('127.0.0.1', 48004) sends a type1 pkt to ('127.0.0.1', 48001), seq0, ack0
12599 - Checker-LOGGER - DEBUG - ('127.0.0.1', 48005) sends a type1 pkt to ('127.0.0.1', 48001), seq0, ack0
12599 - Checker-LOGGER - DEBUG - ('127.0.0.1', 48006) sends a type1 pkt to ('127.0.0.1', 48001), seq0, ack0
12600 - Checker-LOGGER - DEBUG - ('127.0.0.1', 48007) sends a type1 pkt to ('127.0.0.1', 48001), seq0, ack0
